Timestamp,Drink_preference,Age_group,Money_drinks,Hours_sleep
4/10/2025 22:22:38,Boba,Younger than 30,10,6
4/10/2025 22:23:46,Boba,Younger than 30,0,8
4/10/2025 22:23:56,Boba,Younger than 30,8.53,3
4/10/2025 22:30:46,Boba,Younger than 30,3,7
4/10/2025 22:32:29,Boba,Younger than 30,0,9
4/10/2025 22:33:12,Coffee,30 or older,20,7
4/10/2025 22:39:21,Boba,Younger than 30,12,6
4/10/2025 22:42:09,Coffee,Younger than 30,9,8
4/10/2025 22:46:49,Coffee,30 or older,8,7
4/10/2025 22:47:56,Coffee,30 or older,15,7
4/10/2025 22:48:54,Boba,Younger than 30,30,5
4/10/2025 23:22:18,Coffee,Younger than 30,15,7
4/11/2025 1:32:37,Boba,Younger than 30,16.54,7
4/11/2025 7:09:18,Boba,Younger than 30,15,8
4/11/2025 7:27:57,Boba,Younger than 30,10,7
4/11/2025 8:18:36,Coffee,Younger than 30,5,3
4/11/2025 8:30:35,Coffee,Younger than 30,15,9
4/11/2025 9:38:13,Boba,Younger than 30,4,7
4/11/2025 9:38:45,Coffee,Younger than 30,15,7
4/11/2025 9:39:57,Boba,Younger than 30,5.25,6
4/11/2025 9:51:08,Boba,Younger than 30,8,7
4/11/2025 9:51:11,Boba,Younger than 30,0,8
4/11/2025 9:51:15,Boba,Younger than 30,10,6
4/11/2025 9:51:24,Boba,Younger than 30,40,8
4/11/2025 9:51:37,Boba,Younger than 30,6,5
4/11/2025 9:51:47,Boba,Younger than 30,0,7
4/11/2025 9:52:16,Boba,Younger than 30,7.5,5
4/11/2025 9:52:33,Coffee,Younger than 30,22,4
4/11/2025 9:52:47,Coffee,Younger than 30,6,7
4/11/2025 9:52:53,Boba,Younger than 30,3.75,8
4/11/2025 10:24:59,Coffee,30 or older,15,7
4/11/2025 10:28:35,Boba,30 or older,08,8
4/11/2025 10:43:45,Boba,Younger than 30,15,6
4/11/2025 11:02:43,Boba,30 or older,10,5
4/11/2025 13:16:32,Coffee,Younger than 30,15,7
4/11/2025 14:17:38,Coffee,Younger than 30,2,6
4/11/2025 14:37:17,Boba,Younger than 30,30,9
4/11/2025 15:18:54,Boba,Younger than 30,10,6
4/11/2025 16:07:43,Coffee,Younger than 30,10,3
4/11/2025 16:09:38,Boba,Younger than 30,10,7
4/11/2025 16:10:32,Coffee,Younger than 30,5,7
4/11/2025 16:10:59,Boba,Younger than 30,5,8
